Id,x_m,y_m,Lat,Lon
105,2274628.262,-4028802.026,-34,20.43333333
106,2274628.262,-4078143.307,-34.36666667,20.43333333
107,2276483.587,-4033278.757,-34.03333333,20.45
108,2278338.912,-4037757.248,-34.06666667,20.46666667
109,2282049.561,-4042237.5,-34.1,20.5
110,2287615.536,-4035517.782,-34.05,20.55
111,2296892.16,-4037757.248,-34.06666667,20.63333333
112,2298747.485,-4028802.026,-34,20.65
113,2308024.109,-4039997.153,-34.08333333,20.73333333
114,2309879.434,-4057932.303,-34.21666667,20.75
115,2311734.759,-4046719.517,-34.13333333,20.76666667
116,2319156.058,-4055688.859,-34.2,20.83333333
117,2317300.734,-4066910.516,-34.28333333,20.81666667
118,2317300.734,-4080391.204,-34.38333333,20.81666667
119,2317300.734,-4084888.344,-34.41666667,20.81666667
120,2321011.383,-4066910.516,-34.28333333,20.85
121,2317300.734,-4082639.55,-34.4,20.81666667
122,2333998.657,-4037757.248,-34.06666667,20.96666667
123,2332143.332,-4039997.153,-34.08333333,20.95
124,2339564.632,-4042237.5,-34.1,21.01666667
125,2363683.854,-4069156.183,-34.3,21.23333333
126,2365539.179,-4039997.153,-34.08333333,21.25
127,2367394.505,-4039997.153,-34.08333333,21.26666667
128,2367394.505,-4042237.5,-34.1,21.26666667
129,2382237.103,-4033278.757,-34.03333333,21.4
130,2387803.078,-4069156.183,-34.3,21.45
131,2398935.027,-4039997.153,-34.08333333,21.55
132,2398935.027,-4044478.288,-34.11666667,21.55
133,2404501.001,-4055688.859,-34.2,21.6
134,2423054.25,-4048961.189,-34.15,21.76666667
135,2423054.25,-4031040.172,-34.01666667,21.76666667
136,2430475.549,-4057932.303,-34.21666667,21.83333333
137,2430475.549,-4055688.859,-34.2,21.83333333
138,2434186.199,-4055688.859,-34.2,21.86666667
139,2458305.421,-4039997.153,-34.08333333,22.08333333
140,2463871.396,-4039997.153,-34.08333333,22.13333333
141,2465726.721,-4039997.153,-34.08333333,22.15
142,2463871.396,-4053445.859,-34.18333333,22.13333333
143,2465726.721,-4053445.859,-34.18333333,22.15
144,2469437.37,-4037757.248,-34.06666667,22.18333333
145,2473148.021,-4037757.248,-34.06666667,22.21666667
146,2560348.288,-4035517.782,-34.05,23
147,2564058.938,-4035517.782,-34.05,23.03333333
148,2565914.263,-4033278.757,-34.03333333,23.05
149,2565914.263,-4035517.782,-34.05,23.05
150,2573335.563,-4035517.782,-34.05,23.11666667
151,2586322.836,-4035517.782,-34.05,23.23333333
152,2601165.435,-4035517.782,-34.05,23.36666667
153,2660535.83,-4031040.172,-34.01666667,23.9
154,2693931.677,-4035517.782,-34.05,24.2
155,2703208.301,-4039997.153,-34.08333333,24.28333333
156,2710629.601,-4031040.172,-34.01666667,24.35
157,2718050.901,-4042237.5,-34.1,24.41666667
158,2721761.55,-4035517.782,-34.05,24.45
159,2742170.123,-4042237.5,-34.1,24.63333333
160,2747736.097,-4048961.189,-34.15,24.68333333
161,2755157.397,-4033278.757,-34.03333333,24.75
162,2758868.046,-4033278.757,-34.03333333,24.78333333
163,2764434.021,-4039997.153,-34.08333333,24.83333333
164,2764434.021,-4055688.859,-34.2,24.83333333
165,2764434.021,-4057932.303,-34.21666667,24.83333333
166,2773710.646,-4035517.782,-34.05,24.91666667
167,2842357.665,-4035517.782,-34.05,25.53333333
168,2046423.305,-4004211.324,-33.81666667,18.38333333
169,2048278.631,-4017617.877,-33.91666667,18.4
170,2046423.305,-4017617.877,-33.91666667,18.38333333
171,2046423.305,-4022090.222,-33.95,18.38333333
172,2046423.305,-4026564.319,-33.98333333,18.38333333
173,2048278.631,-4015382.36,-33.9,18.4
174,2048278.631,-4026564.319,-33.98333333,18.4
175,2048278.631,-4024327.052,-33.96666667,18.4
176,2050133.956,-4015382.36,-33.9,18.41666667
177,2050133.956,-4019853.83,-33.93333333,18.41666667
178,2050133.956,-4022090.222,-33.95,18.41666667
179,2050133.956,-4024327.052,-33.96666667,18.41666667
180,2053844.605,-3993051.166,-33.73333333,18.45
181,2051989.28,-4019853.83,-33.93333333,18.43333333
182,2051989.28,-4024327.052,-33.96666667,18.43333333
183,2051989.28,-4026564.319,-33.98333333,18.43333333
184,2053844.605,-4019853.83,-33.93333333,18.45
185,2053844.605,-4022090.222,-33.95,18.45
186,2055699.93,-4024327.052,-33.96666667,18.46666667
187,2055699.93,-4026564.319,-33.98333333,18.46666667
188,2057555.254,-3975217.429,-33.6,18.48333333
189,2059410.58,-4013147.28,-33.88333333,18.5
190,2057555.254,-4019853.83,-33.93333333,18.48333333
191,2057555.254,-4022090.222,-33.95,18.48333333
192,2057555.254,-4024327.052,-33.96666667,18.48333333
193,2057555.254,-4028802.026,-34,18.48333333
194,2059410.58,-4019853.83,-33.93333333,18.5
195,2063121.229,-4017617.877,-33.91666667,18.53333333
196,2063121.229,-4008678.43,-33.85,18.53333333
197,2066831.879,-3990820.437,-33.71666667,18.56666667
198,2066831.879,-4008678.43,-33.85,18.56666667
199,2068687.204,-3984130.843,-33.66666667,18.58333333
5596,3230120.558,-2775764.04,-24.18333333,29.01666667
201,2070542.529,-4026564.319,-33.98333333,18.6
202,2072397.854,-4015382.36,-33.9,18.61666667
203,2072397.854,-4017617.877,-33.91666667,18.61666667
204,2074253.178,-4001978.424,-33.8,18.63333333
205,2074253.178,-4006444.659,-33.83333333,18.63333333
206,2070542.529,-4015382.36,-33.9,18.6
