Year,Lat,Lon,Sirex_Presence
2012,-25.92929,30.93582,No Sirex
2012,-26.02525,30.37026,No Sirex
2012,-26.03888,30.37487,No Sirex
2012,-26.03792,30.37838,No Sirex
2012,-26.04021,30.37967,No Sirex
2012,-26.04512,30.37512,No Sirex
2012,-26.067251,30.435743,No Sirex
2012,-26.11177,30.40877,No Sirex
2012,-26.140213,30.81953,No Sirex
2012,-26.141091,30.430547,No Sirex
2012,-26.14484,30.306847,No Sirex
2012,-26.173117,30.499069,No Sirex
2012,-26.20716,30.52785,No Sirex
2012,-26.211072,30.493739,No Sirex
2012,-26.233426,30.799204,No Sirex
2012,-26.24866,30.525379,No Sirex
2012,-26.270299,30.564547,No Sirex
2012,-26.271731,30.638167,No Sirex
2012,-26.273862,30.832189,No Sirex
2012,-26.274224,30.584411,No Sirex
2012,-26.311011,30.703264,No Sirex
2012,-26.340093,30.665009,No Sirex
2012,-26.354694,30.584888,No Sirex
2012,-26.360753,30.484697,No Sirex
2012,-26.378614,30.762368,No Sirex
2012,-26.403393,30.63925,No Sirex
2012,-26.420767,30.763857,No Sirex
2012,-26.451755,30.774634,No Sirex
2012,-26.453106,30.750328,No Sirex
2012,-26.471785,30.716345,No Sirex
2012,-26.476085,30.58853,No Sirex
2012,-26.492027,30.59548,No Sirex
2012,-26.515928,30.685083,No Sirex
2012,-26.524935,30.708064,No Sirex
2012,-26.54699,30.76451,No Sirex
2012,-26.54342,30.68828,No Sirex
2012,-26.62633,30.69503,No Sirex
2012,-26.644149,30.754571,No Sirex
2012,-26.65299,30.70058,No Sirex
2012,-26.69788,30.78329,No Sirex
2012,-26.71379,30.61416,No Sirex
2012,-26.71577,30.58655,No Sirex
2012,-26.73141,30.583994,No Sirex
2012,-26.733557,30.616396,No Sirex
2012,-26.756622,30.521243,No Sirex
2012,-26.837819,30.363622,No Sirex
2012,-26.890561,30.37253,No Sirex
2012,-26.56955,30.42101,No Sirex
2012,-26.952891,30.606729,No Sirex
2012,-26.971842,30.606635,No Sirex
2012,-27.00891,30.67712,No Sirex
