Year,Lat,Lon,Lepto_Y_N
2018,-29.23171515,30.36803994,No Leptocybe
2018,-27.5994855,30.83981673,No Leptocybe
2018,-25.49680547,30.61801936,No Leptocybe
2018,-30.62997506,30.00418524,No Leptocybe
2018,-25.74615252,30.875239,No Leptocybe
2018,-24.9314447,31.00368048,No Leptocybe
2018,-31.487878,28.446627,No Leptocybe
2018,-25.5614102,30.87535808,No Leptocybe
2018,-25.61415622,30.82331748,No Leptocybe
2018,-29.731526,30.26957646,No Leptocybe
2018,-31.41269,28.596185,No Leptocybe
2018,-29.19465513,30.64859002,No Leptocybe
2018,-25.90767989,30.8837252,No Leptocybe
2018,-29.24606612,30.18744487,No Leptocybe
2018,-27.45901846,30.66863586,No Leptocybe
2018,-31.404468,28.754948,No Leptocybe
2018,-25.22981183,31.05931218,No Leptocybe
2018,-25.34029763,30.77358309,No Leptocybe
2018,-27.52769496,30.50692352,No Leptocybe
2018,-26.46273849,30.66792587,No Leptocybe
2018,-26.54452881,30.67985271,No Leptocybe
2018,-29.926,30.192,No Leptocybe
2018,-26.126,30.307,No Leptocybe
2018,-26.14970991,30.33963418,No Leptocybe
2018,-26.15427592,30.32695655,No Leptocybe
2018,-26.06766768,30.34010071,No Leptocybe
2018,-26.00736088,30.26199775,No Leptocybe
2018,-29.24925967,30.51885859,No Leptocybe
2018,-30.14715136,29.93978922,No Leptocybe
2018,-30.08435072,30.02966632,No Leptocybe
2018,-25.72442059,30.36841337,No Leptocybe
2018,-29.64876767,29.61680321,No Leptocybe
2018,-29.64413498,29.6567481,No Leptocybe
2018,-29.64298193,29.57023603,No Leptocybe
2018,-25.001,30.931,No Leptocybe
2018,-25.0174988,30.95140014,No Leptocybe
2018,-26.93398253,30.59418006,No Leptocybe
2018,-26.93339087,30.85580362,No Leptocybe
2018,-26.9597411,30.75705393,No Leptocybe
2018,-27.34650254,30.83698376,No Leptocybe
2018,-29.53147076,30.55272446,No Leptocybe
2018,-29.02104769,29.48734713,No Leptocybe
2018,-28.91992094,29.42120463,No Leptocybe
2018,-27.215,30.977,No Leptocybe
2018,-26.30471674,30.61769422,No Leptocybe
2018,-26.40810951,30.60695168,No Leptocybe
2018,-26.406,30.673,No Leptocybe
2018,-29.09508409,30.52272315,No Leptocybe
2018,-28.54871249,31.2899093,No Leptocybe
2018,-28.68196083,31.30007742,No Leptocybe
2018,-28.516817,31.266775,No Leptocybe
2018,-28.613897,31.302324,No Leptocybe
2018,-28.905543,31.81067,No Leptocybe
2018,-28.726931,32.090785,No Leptocybe
2018,-28.650668,32.163391,No Leptocybe
2018,-28.657544,32.098475,No Leptocybe
2018,-28.587102,32.038914,No Leptocybe
2018,-28.591309,32.164521,No Leptocybe
2018,-28.59019,32.240664,No Leptocybe
2018,-28.529316,32.212647,No Leptocybe
2018,-28.524548,32.268504,No Leptocybe
2018,-28.550859,32.085372,No Leptocybe
2018,-28.349277,32.225115,No Leptocybe
2018,-28.410156,32.252981,No Leptocybe
2018,-28.104022,32.408208,No Leptocybe
2018,-28.169496,32.380385,No Leptocybe
2018,-28.254392,32.377409,No Leptocybe
2018,-28.322549,32.302792,No Leptocybe
2018,-28.197768,32.331866,No Leptocybe
2019,-28.52837823,32.25024275,No Leptocybe
2019,-25.89068412,30.38113132,No Leptocybe
2019,-30.29648694,30.43219782,No Leptocybe
2019,-28.65567072,32.10200481,No Leptocybe
2019,-23.73555556,30.06944444,No Leptocybe
2019,-29.32683646,30.38067353,No Leptocybe
2019,-29.00217049,30.60387852,No Leptocybe
2019,-28.99482565,30.67495379,No Leptocybe
2019,-29.13293351,30.74068901,No Leptocybe
2019,-28.30918523,32.33075216,No Leptocybe
2019,-29.82819884,29.69788176,No Leptocybe
2019,-28.40406205,32.25003234,No Leptocybe
2019,-30.01052888,30.05630924,No Leptocybe
2019,-30.02640197,29.94088279,No Leptocybe
2019,-23.77666667,30.16694444,No Leptocybe
2019,-26.78332852,30.47970358,No Leptocybe
2019,-25.58305804,30.32676716,No Leptocybe
2019,-30.33291838,30.21330969,No Leptocybe
2019,-30.25950851,30.16771249,No Leptocybe
2019,-30.25915983,30.17086573,No Leptocybe
2019,-30.24613862,30.26970778,No Leptocybe
2019,-25.91570141,31.09911406,No Leptocybe
2019,-25.53541351,30.86706708,No Leptocybe
2019,-29.21292487,30.55787861,No Leptocybe
2019,-29.25173791,30.58668295,No Leptocybe
2019,-26.71683675,30.61479554,No Leptocybe
2019,-28.51985805,31.24091381,No Leptocybe
2019,-28.516,31.173,No Leptocybe
2019,-28.72825951,32.11244808,No Leptocybe
2019,-28.61056943,32.17747298,No Leptocybe
2019,-28.60068449,32.1417488,No Leptocybe
2019,-24.95325681,31.01225423,No Leptocybe
2019,-27.37336358,30.85081532,No Leptocybe
2019,-26.55587271,30.69590419,No Leptocybe
2019,-29.72777709,30.24653782,No Leptocybe
2019,-28.5714137,31.307372,No Leptocybe
2019,-28.75374536,32.00332961,No Leptocybe
2019,-29.85578464,30.32711281,No Leptocybe
2019,-25.85691329,30.99027076,No Leptocybe
2019,-25.88233998,30.87293338,No Leptocybe
2019,-28.49146303,31.37723115,No Leptocybe
2019,-29.03312876,31.6764324,No Leptocybe
2019,-29.26619444,30.17658333,No Leptocybe
2019,-30.19568905,30.08294815,No Leptocybe
2019,-30.232,30.04,No Leptocybe
2019,-26.57474178,30.77588942,No Leptocybe
2019,-25.64376519,30.60035786,No Leptocybe
2019,-28.26777486,32.30715391,No Leptocybe
2019,-28.22158513,32.37752835,No Leptocybe
2019,-28.16551848,32.35603835,No Leptocybe
2019,-28.2927645,32.26447054,No Leptocybe
2019,-28.90905587,31.80492858,No Leptocybe
2019,-28.85690119,31.89474104,No Leptocybe
2019,-28.57177377,32.08862131,No Leptocybe
2019,-25.33060924,30.70839857,No Leptocybe
2019,-26.44007897,30.61565454,No Leptocybe
2019,-26.4560387,30.67404883,No Leptocybe
2019,-26.83908259,30.69996867,No Leptocybe
2019,-26.12090099,30.3737493,No Leptocybe
2019,-26.06817078,30.30950656,No Leptocybe
2019,-25.97728737,30.36142657,No Leptocybe
2019,-23.81916667,30.09638889,No Leptocybe
2019,-25.62655414,30.80450737,No Leptocybe
2019,-29.41430009,30.26925011,No Leptocybe
2019,-29.41501898,30.21272732,No Leptocybe
2019,-29.22097222,30.12619444,No Leptocybe
2019,-28.70365024,32.04787146,No Leptocybe
2019,-23.93777778,30.06333333,No Leptocybe
2019,-23.89194444,30.11388889,No Leptocybe
2019,-23.86638889,30.13527778,No Leptocybe
2019,-23.86666667,30.07916667,No Leptocybe
2019,-25.22669956,30.51678202,No Leptocybe
2019,-28.55206234,32.09250711,No Leptocybe
2019,-29.61667134,29.57120209,No Leptocybe
2019,-25.01675435,30.8825622,No Leptocybe
2019,-24.88501852,30.95863772,No Leptocybe
2019,-28.52113889,31.35336111,No Leptocybe
2019,-28.55361111,31.34013889,No Leptocybe
2019,-29.5047407,30.57527215,No Leptocybe
2019,-29.03751959,29.48471986,No Leptocybe
2019,-28.89279304,29.43135411,No Leptocybe
2019,-26.30304508,30.61894357,No Leptocybe
2019,-26.37283744,30.66726512,No Leptocybe
2020,-29.75852222,30.23073611,No Leptocybe
2020,-26.172598,30.739059,No Leptocybe
2020,-30.3017144,30.43683364,No Leptocybe
2020,-27.878797,31.069218,No Leptocybe
2020,-23.713394,30.09849,No Leptocybe
2020,-29.3881459,30.35653788,No Leptocybe
